href,video,gloss,categorie
/es.es/word/999/margarina/0/?q=margarina,https://media.spreadthesign.com/video/mp4/5/10003.mp4,margarina,cotidiano
/es.es/word/1000/adobar/0/?q=adobar,https://media.spreadthesign.com/video/mp4/5/10009.mp4,adobar,cotidiano
/es.es/word/1001/mazapan/0/?q=mazap%C3%A1n,https://media.spreadthesign.com/video/mp4/5/10022.mp4,mazapán,cotidiano
/es.es/word/1002/aplastar/0/?q=aplastar,https://media.spreadthesign.com/video/mp4/5/10033.mp4,aplastar,tecnologia
/es.es/word/1004/mayonesa/0/?q=mayonesa,https://media.spreadthesign.com/video/mp4/5/10051.mp4,mayonesa,cotidiano
/es.es/word/1006/medallon/0/?q=medall%C3%B3n,https://media.spreadthesign.com/video/mp4/5/10069.mp4,medallón,cotidiano
/es.es/word/1007/punto-medio/0/?q=punto+medio,https://media.spreadthesign.com/video/mp4/5/10081.mp4,punto medio,cotidiano
/es.es/word/1008/melon/0/?q=mel%C3%B3n,https://media.spreadthesign.com/video/mp4/5/10093.mp4,melón,cotidiano
/es.es/word/1011/menu/0/?q=men%C3%BA,https://media.spreadthesign.com/video/mp4/5/10123.mp4,menú,cotidiano
/es.es/word/1013/batido/0/?q=batido,https://media.spreadthesign.com/video/mp4/5/10142.mp4,batido,cotidiano
/es.es/word/1014/carne-picada/0/?q=carne+picada,https://media.spreadthesign.com/video/mp4/5/10153.mp4,carne picada,cotidiano
/es.es/word/1015/agua-mineral/0/?q=agua+mineral,https://media.spreadthesign.com/video/mp4/5/10159.mp4,agua mineral,cotidiano
/es.es/word/1017/batidora/0/?q=batidora,https://media.spreadthesign.com/video/mp4/5/10182.mp4,batidora,cotidiano
/es.es/word/1018/dinero/0/?q=dinero,https://media.spreadthesign.com/video/mp4/5/10188.mp4,dinero,trabajo-social
/es.es/word/11/cemento/0/?q=cemento,https://media.spreadthesign.com/video/mp4/5/102.mp4,cemento,tecnologia
/es.es/word/103/soporte-de-la-broca/0/?q=soporte+de+la+broca,https://media.spreadthesign.com/video/mp4/5/1020.mp4,soporte de la broca,tecnologia
/es.es/word/1019/fregona/0/?q=fregona,https://media.spreadthesign.com/video/mp4/5/10201.mp4,fregona,cotidiano
/es.es/word/1020/mousse/0/?q=mousse,https://media.spreadthesign.com/video/mp4/5/10212.mp4,mousse,cotidiano
/es.es/word/1022/mostaza/0/?q=mostaza,https://media.spreadthesign.com/video/mp4/5/10230.mp4,mostaza,cotidiano
/es.es/word/1023/cordero/0/?q=cordero,https://media.spreadthesign.com/video/mp4/5/10242.mp4,cordero,cotidiano
/es.es/word/104/universal/0/?q=universal,https://media.spreadthesign.com/video/mp4/5/1026.mp4,universal,lenguaje
/es.es/word/1025/no-fumadores/0/?q=no+fumadores,https://media.spreadthesign.com/video/mp4/5/10261.mp4,no fumadores,salud-y-medicina
/es.es/word/1027/nuez-moscada/0/?q=nuez+moscada,https://media.spreadthesign.com/video/mp4/5/10278.mp4,nuez moscada,cotidiano
/es.es/word/1030/aceite/0/?q=aceite,https://media.spreadthesign.com/video/mp4/5/10307.mp4,aceite,cotidiano
/es.es/word/1031/aceituna/0/?q=aceituna,https://media.spreadthesign.com/video/mp4/5/10319.mp4,aceituna,cotidiano
/es.es/word/1032/aceite-de-oliva/0/?q=aceite+de+oliva,https://media.spreadthesign.com/video/mp4/5/10331.mp4,aceite de oliva,cotidiano
/es.es/word/1033/tortilla/0/?q=tortilla,https://media.spreadthesign.com/video/mp4/5/10337.mp4,tortilla,cotidiano
/es.es/word/1035/abrir-una-botella/0/?q=abrir+una+botella,https://media.spreadthesign.com/video/mp4/5/10361.mp4,abrir una botella,cotidiano
/es.es/word/105/lijadora/0/?q=lijadora,https://media.spreadthesign.com/video/mp4/5/1037.mp4,lijadora,tecnologia
/es.es/word/1037/pedir/0/?q=pedir,https://media.spreadthesign.com/video/mp4/5/10380.mp4,pedir,cotidiano
/es.es/word/1038/oregano/0/?q=or%C3%A9gano,https://media.spreadthesign.com/video/mp4/5/10392.mp4,orégano,cotidiano
/es.es/word/1039/hornear/0/?q=hornear,https://media.spreadthesign.com/video/mp4/5/10398.mp4,hornear,cotidiano
/es.es/word/1040/ostra/0/?q=ostra,https://media.spreadthesign.com/video/mp4/5/10411.mp4,ostra,cotidiano
/es.es/word/1041/abreostras/0/?q=abreostras,https://media.spreadthesign.com/video/mp4/5/10421.mp4,abreostras,cotidiano
/es.es/word/1042/paquete/0/?q=paquete,https://media.spreadthesign.com/video/mp4/5/10427.mp4,paquete,lenguaje
/es.es/word/1043/cazo/0/?q=cazo,https://media.spreadthesign.com/video/mp4/5/10440.mp4,cazo,cotidiano
/es.es/word/1045/despensa/0/?q=despensa,https://media.spreadthesign.com/video/mp4/5/10457.mp4,despensa,cotidiano
/es.es/word/1046/papaya/0/?q=papaya,https://media.spreadthesign.com/video/mp4/5/10469.mp4,papaya,cotidiano
/es.es/word/1047/pimenton-dulce/0/?q=piment%C3%B3n+dulce,https://media.spreadthesign.com/video/mp4/5/10479.mp4,pimentón dulce,cotidiano
/es.es/word/1049/paquete/0/?q=paquete,https://media.spreadthesign.com/video/mp4/5/10497.mp4,paquete,lenguaje
/es.es/word/1050/perejil/0/?q=perejil,https://media.spreadthesign.com/video/mp4/5/10508.mp4,perejil,cotidiano
/es.es/word/1053/masa/0/?q=masa,https://media.spreadthesign.com/video/mp4/5/10537.mp4,masa,cotidiano
/es.es/word/1054/moldes-pasteleros/0/?q=moldes+pasteleros,https://media.spreadthesign.com/video/mp4/5/10543.mp4,moldes pasteleros,cotidiano
/es.es/word/1055/pate/0/?q=pat%C3%A9,https://media.spreadthesign.com/video/mp4/5/10554.mp4,paté,cotidiano
/es.es/word/1056/pago-por-talon/0/?q=pago+por+tal%C3%B3n,https://media.spreadthesign.com/video/mp4/5/10564.mp4,pago por talón,trabajo-social
/es.es/word/107/iman/0/?q=im%C3%A1n,https://media.spreadthesign.com/video/mp4/5/1057.mp4,imán,ciencia
/es.es/word/1057/pago-con-tarjeta/0/?q=pago+con+tarjeta,https://media.spreadthesign.com/video/mp4/5/10570.mp4,pago con tarjeta,trabajo-social
/es.es/word/1058/pago-en-metalico/0/?q=pago+en+met%C3%A1lico,https://media.spreadthesign.com/video/mp4/5/10582.mp4,pago en metálico,trabajo-social
/es.es/word/1060/cacahuete/0/?q=cacahuete,https://media.spreadthesign.com/video/mp4/5/10600.mp4,cacahuete,cotidiano
/es.es/word/1062/guisante/0/?q=guisante,https://media.spreadthesign.com/video/mp4/5/10624.mp4,guisante,cotidiano
/es.es/word/1063/cascara/0/?q=c%C3%A1scara,https://media.spreadthesign.com/video/mp4/5/10630.mp4,cáscara,cotidiano
/es.es/word/1065/menta/0/?q=menta,https://media.spreadthesign.com/video/mp4/5/10654.mp4,menta,cotidiano
/es.es/word/1066/pimienta-en-grano/0/?q=pimienta+en+grano,https://media.spreadthesign.com/video/mp4/5/10660.mp4,pimienta en grano,cotidiano
/es.es/word/108/lona/0/?q=lona,https://media.spreadthesign.com/video/mp4/5/1067.mp4,lona,tecnologia
/es.es/word/1067/molinillo-de-pimienta/0/?q=molinillo+de+pimienta,https://media.spreadthesign.com/video/mp4/5/10673.mp4,molinillo de pimienta,cotidiano
