href,video,gloss,grammar-category,category
/es.es/word/7059/crucificar/0/?q=crucificar,https://media.spreadthesign.com/video/mp4/5/271487.mp4,crucificar,verbo,religion
/es.es/word/7067/bola-de-cristal/0/?q=bola+de+cristal,https://media.spreadthesign.com/video/mp4/5/58822.mp4,bola de cristal,nombre,religion
/es.es/word/7074/cupido/0/?q=cupido,https://media.spreadthesign.com/video/mp4/5/58820.mp4,cupido,nombre,religion
/es.es/word/7078/maldicion/0/?q=maldici%C3%B3n,https://media.spreadthesign.com/video/mp4/5/475931.mp4,maldición,nombre,religion
/es.es/word/7752/privar/0/?q=privar,https://media.spreadthesign.com/video/mp4/5/190971.mp4,privar,verbo,religion
/es.es/word/7488/tumba/0/?q=tumba,https://media.spreadthesign.com/video/mp4/5/179625.mp4,tumba,nombre,religion
/es.es/word/7455/duende/0/?q=duende,https://media.spreadthesign.com/video/mp4/5/475766.mp4,duende,nombre,religion
/es.es/word/7491/avidez/0/?q=avidez,https://media.spreadthesign.com/video/mp4/5/151019.mp4,avidez,nombre,religion
/es.es/word/7493/duende-malvado/0/?q=duende+malvado,https://media.spreadthesign.com/video/mp4/5/330689.mp4,duende malvado,nombre,religion
/es.es/word/7463/evangelio/0/?q=evangelio,https://media.spreadthesign.com/video/mp4/5/153408.mp4,evangelio,nombre,religion
/es.es/word/7436/gigante/0/?q=gigante,https://media.spreadthesign.com/video/mp4/5/330784.mp4,gigante,nombre,religion
/es.es/word/7152/cuaquero/0/?q=cu%C3%A1quero,https://media.spreadthesign.com/video/mp4/5/64771.mp4,cuáquero,nombre,religion
/es.es/word/7840/budismo/0/?q=budismo,https://media.spreadthesign.com/video/mp4/5/275813.mp4,budismo,nombre,religion
/es.es/word/7839/buda/0/?q=Buda,https://media.spreadthesign.com/video/mp4/5/276016.mp4,Buda,nombre,religion
/es.es/word/7207/templo/0/?q=templo,https://media.spreadthesign.com/video/mp4/5/67414.mp4,templo,nombre,religion
/es.es/word/7250/trono/0/?q=trono,https://media.spreadthesign.com/video/mp4/5/71750.mp4,trono,nombre,religion
/es.es/word/7292/tumba/0/?q=tumba,https://media.spreadthesign.com/video/mp4/5/157253.mp4,tumba,nombre,religion
/es.es/word/7602/amuleto/0/?q=amuleto,https://media.spreadthesign.com/video/mp4/5/276933.mp4,amuleto,nombre,religion
/es.es/word/7635/hechos-de-los-apostoles/0/?q=Hechos+de+los+Ap%C3%B3stoles,https://media.spreadthesign.com/video/mp4/5/246405.mp4,Hechos de los Apóstoles,nombre,religion
/es.es/word/4059/ateo/0/?q=ateo,https://media.spreadthesign.com/video/mp4/5/35810.mp4,ateo,nombre,religion
/es.es/word/42252/ahijado-a/0/?q=ahijado%2Fa,https://media.spreadthesign.com/video/mp4/5/672557.mp4,ahijado/a,nombre,religion
/es.es/word/10738/perezoso/0/?q=perezoso,https://media.spreadthesign.com/video/mp4/5/299303.mp4,perezoso,adjetivo,religion
/es.es/word/10400/vida-eterna/0/?q=vida+eterna,https://media.spreadthesign.com/video/mp4/5/298788.mp4,vida eterna,nombre,religion
/es.es/word/10443/codicioso/0/?q=codicioso,https://media.spreadthesign.com/video/mp4/5/299151.mp4,codicioso,adjetivo,religion
/es.es/word/10486/celos/0/?q=celos,https://media.spreadthesign.com/video/mp4/5/299156.mp4,celos,nombre,religion
/es.es/word/10562/ofensa/0/?q=ofensa,https://media.spreadthesign.com/video/mp4/5/299834.mp4,ofensa,nombre,religion
/es.es/word/10260/maldito/0/?q=maldito,https://media.spreadthesign.com/video/mp4/5/298874.mp4,maldito,adjetivo,religion
/es.es/word/10904/paraiso/0/?q=para%C3%ADso,https://media.spreadthesign.com/video/mp4/5/148304.mp4,paraíso,nombre,religion
/es.es/word/10929/escuela-religiosa/0/?q=escuela+religiosa,https://media.spreadthesign.com/video/mp4/5/271367.mp4,escuela religiosa,nombre,religion
/es.es/word/10612/cura/0/?q=cura,https://media.spreadthesign.com/video/mp4/5/672537.mp4,cura,nombre,religion
/es.es/word/10656/remordimiento/0/?q=remordimiento,https://media.spreadthesign.com/video/mp4/5/299196.mp4,remordimiento,nombre,religion
/es.es/word/10660/revelacion/0/?q=revelaci%C3%B3n,https://media.spreadthesign.com/video/mp4/5/299962.mp4,revelación,nombre,religion
/es.es/word/10662/veneracion/0/?q=veneraci%C3%B3n,https://media.spreadthesign.com/video/mp4/5/299296.mp4,veneración,nombre,religion
/es.es/word/10635/extasis/0/?q=%C3%A9xtasis+,https://media.spreadthesign.com/video/mp4/5/299186.mp4,éxtasis ,nombre,religion
/es.es/word/10328/cristiano/0/?q=Cristiano,https://media.spreadthesign.com/video/mp4/5/271472.mp4,Cristiano,nombre,religion
/es.es/word/10321/catecismo/0/?q=catecismo,https://media.spreadthesign.com/video/mp4/5/330621.mp4,catecismo,nombre,religion
/es.es/word/10369/engano/0/?q=enga%C3%B1o,https://media.spreadthesign.com/video/mp4/5/330873.mp4,engaño,nombre,religion
/es.es/word/10330/cristologia/0/?q=cristolog%C3%ADa,https://media.spreadthesign.com/video/mp4/5/271473.mp4,cristología,nombre,religion
/es.es/word/10335/condena/0/?q=condena,https://media.spreadthesign.com/video/mp4/5/330650.mp4,condena,nombre,religion
/es.es/word/10339/condenar/0/?q=condenar,https://media.spreadthesign.com/video/mp4/5/246411.mp4,condenar,verbo,religion
/es.es/word/1794/diablo/0/?q=diablo,https://media.spreadthesign.com/video/mp4/5/17847.mp4,diablo,nombre,religion
/es.es/word/1795/angel/0/?q=%C3%A1ngel,https://media.spreadthesign.com/video/mp4/5/17857.mp4,ángel,nombre,religion
/es.es/word/17124/nino-jesus/0/?q=Ni%C3%B1o+Jes%C3%BAs,https://media.spreadthesign.com/video/mp4/5/230201.mp4,Niño Jesús,nombre,religion
/es.es/word/17392/portal-de-belen/0/?q=portal+de+Bel%C3%A9n,https://media.spreadthesign.com/video/mp4/5/284654.mp4,portal de Belén,nombre,religion
/es.es/word/14918/catolico/0/?q=cat%C3%B3lico,https://media.spreadthesign.com/video/mp4/5/175554.mp4,católico,nombre,religion
