href,video,gloss,categorie
/en.gb/word/999/margarina/0/?q=margarina,https://media.spreadthesign.com/video/mp4/1/10005.mp4,margarina,cotidiano
/en.gb/word/1000/adobar/0/?q=adobar,https://media.spreadthesign.com/video/mp4/1/10011.mp4,adobar,cotidiano
/en.gb/word/1001/mazapan/0/?q=mazap%C3%A1n,https://media.spreadthesign.com/video/mp4/1/10024.mp4,mazapán,cotidiano
/en.gb/word/1002/aplastar/0/?q=aplastar,https://media.spreadthesign.com/video/mp4/1/10035.mp4,aplastar,tecnologia
/en.gb/word/1004/mayonesa/0/?q=mayonesa,https://media.spreadthesign.com/video/mp4/1/10053.mp4,mayonesa,cotidiano
/en.gb/word/1006/medallon/0/?q=medall%C3%B3n,https://media.spreadthesign.com/video/mp4/1/10071.mp4,medallón,cotidiano
/en.gb/word/1007/punto-medio/0/?q=punto+medio,https://media.spreadthesign.com/video/mp4/1/10083.mp4,punto medio,cotidiano
/en.gb/word/1008/melon/0/?q=mel%C3%B3n,https://media.spreadthesign.com/video/mp4/1/10095.mp4,melón,cotidiano
/en.gb/word/1011/menu/0/?q=men%C3%BA,https://media.spreadthesign.com/video/mp4/1/10125.mp4,menú,cotidiano
/en.gb/word/1013/batido/0/?q=batido,https://media.spreadthesign.com/video/mp4/1/10144.mp4,batido,cotidiano
/en.gb/word/1014/carne-picada/0/?q=carne+picada,https://media.spreadthesign.com/video/mp4/1/10155.mp4,carne picada,cotidiano
/en.gb/word/1015/agua-mineral/0/?q=agua+mineral,https://media.spreadthesign.com/video/mp4/1/10161.mp4,agua mineral,cotidiano
/en.gb/word/1017/batidora/0/?q=batidora,https://media.spreadthesign.com/video/mp4/1/10184.mp4,batidora,cotidiano
/en.gb/word/1018/dinero/0/?q=dinero,https://media.spreadthesign.com/video/mp4/1/10190.mp4,dinero,trabajo-social
/en.gb/word/11/cemento/0/?q=cemento,https://media.spreadthesign.com/video/mp4/1/104.mp4,cemento,tecnologia
/en.gb/word/103/soporte-de-la-broca/0/?q=soporte+de+la+broca,https://media.spreadthesign.com/video/mp4/1/1022.mp4,soporte de la broca,tecnologia
/en.gb/word/1019/fregona/0/?q=fregona,https://media.spreadthesign.com/video/mp4/1/10203.mp4,fregona,cotidiano
/en.gb/word/1020/mousse/0/?q=mousse,https://media.spreadthesign.com/video/mp4/1/10214.mp4,mousse,cotidiano
/en.gb/word/1022/mostaza/0/?q=mostaza,https://media.spreadthesign.com/video/mp4/1/10232.mp4,mostaza,cotidiano
/en.gb/word/1023/cordero/0/?q=cordero,https://media.spreadthesign.com/video/mp4/1/10244.mp4,cordero,cotidiano
/en.gb/word/104/universal/0/?q=universal,https://media.spreadthesign.com/video/mp4/1/1028.mp4,universal,lenguaje
/en.gb/word/1025/no-fumadores/0/?q=no+fumadores,https://media.spreadthesign.com/video/mp4/1/10263.mp4,no fumadores,salud-y-medicina
/en.gb/word/1027/nuez-moscada/0/?q=nuez+moscada,https://media.spreadthesign.com/video/mp4/1/10280.mp4,nuez moscada,cotidiano
/en.gb/word/1030/aceite/0/?q=aceite,https://media.spreadthesign.com/video/mp4/1/10309.mp4,aceite,cotidiano
/en.gb/word/1031/aceituna/0/?q=aceituna,https://media.spreadthesign.com/video/mp4/1/10321.mp4,aceituna,cotidiano
/en.gb/word/1032/aceite-de-oliva/0/?q=aceite+de+oliva,https://media.spreadthesign.com/video/mp4/1/10333.mp4,aceite de oliva,cotidiano
/en.gb/word/1033/tortilla/0/?q=tortilla,https://media.spreadthesign.com/video/mp4/1/10339.mp4,tortilla,cotidiano
/en.gb/word/1035/abrir-una-botella/0/?q=abrir+una+botella,https://media.spreadthesign.com/video/mp4/1/10363.mp4,abrir una botella,cotidiano
