href,video,gloss,categorie
/en.us/word/999/margarina/0/?q=margarina,https://media.spreadthesign.com/video/mp4/13/75027.mp4,margarina,cotidiano
/en.us/word/1000/adobar/0/?q=adobar,https://media.spreadthesign.com/video/mp4/13/91518.mp4,adobar,cotidiano
/en.us/word/1002/aplastar/0/?q=aplastar,https://media.spreadthesign.com/video/mp4/13/456939.mp4,aplastar,tecnologia
/en.us/word/1007/punto-medio/0/?q=punto+medio,https://media.spreadthesign.com/video/mp4/13/75030.mp4,punto medio,cotidiano
/en.us/word/1008/melon/0/?q=mel%C3%B3n,https://media.spreadthesign.com/video/mp4/13/75031.mp4,melón,cotidiano
/en.us/word/1011/menu/0/?q=men%C3%BA,https://media.spreadthesign.com/video/mp4/13/75033.mp4,menú,cotidiano
/en.us/word/1013/batido/0/?q=batido,https://media.spreadthesign.com/video/mp4/13/91521.mp4,batido,cotidiano
/en.us/word/1014/carne-picada/0/?q=carne+picada,https://media.spreadthesign.com/video/mp4/13/91522.mp4,carne picada,cotidiano
/en.us/word/1017/batidora/0/?q=batidora,https://media.spreadthesign.com/video/mp4/13/457020.mp4,batidora,cotidiano
/en.us/word/1018/dinero/0/?q=dinero,https://media.spreadthesign.com/video/mp4/13/48596.mp4,dinero,trabajo-social
/en.us/word/11/cemento/0/?q=cemento,https://media.spreadthesign.com/video/mp4/13/125894.mp4,cemento,tecnologia
/en.us/word/1019/fregona/0/?q=fregona,https://media.spreadthesign.com/video/mp4/13/457038.mp4,fregona,cotidiano
/en.us/word/104/universal/0/?q=universal,https://media.spreadthesign.com/video/mp4/13/65930.mp4,universal,lenguaje
/en.us/word/1025/no-fumadores/0/?q=no+fumadores,https://media.spreadthesign.com/video/mp4/13/75042.mp4,no fumadores,salud-y-medicina
/en.us/word/1030/aceite/0/?q=aceite,https://media.spreadthesign.com/video/mp4/13/153641.mp4,aceite,cotidiano
/en.us/word/1033/tortilla/0/?q=tortilla,https://media.spreadthesign.com/video/mp4/13/91531.mp4,tortilla,cotidiano
/en.us/word/1035/abrir-una-botella/0/?q=abrir+una+botella,https://media.spreadthesign.com/video/mp4/13/91533.mp4,abrir una botella,cotidiano
/en.us/word/1037/pedir/0/?q=pedir,https://media.spreadthesign.com/video/mp4/13/91535.mp4,pedir,cotidiano
/en.us/word/1039/hornear/0/?q=hornear,https://media.spreadthesign.com/video/mp4/13/91537.mp4,hornear,cotidiano
/en.us/word/1041/abreostras/0/?q=abreostras,https://media.spreadthesign.com/video/mp4/13/91539.mp4,abreostras,cotidiano
/en.us/word/1045/despensa/0/?q=despensa,https://media.spreadthesign.com/video/mp4/13/91543.mp4,despensa,cotidiano
/en.us/word/1056/pago-por-talon/0/?q=pago+por+tal%C3%B3n,https://media.spreadthesign.com/video/mp4/13/457702.mp4,pago por talón,trabajo-social
/en.us/word/107/iman/0/?q=im%C3%A1n,https://media.spreadthesign.com/video/mp4/13/456646.mp4,imán,ciencia
/en.us/word/1057/pago-con-tarjeta/0/?q=pago+con+tarjeta,https://media.spreadthesign.com/video/mp4/13/91554.mp4,pago con tarjeta,trabajo-social
/en.us/word/1058/pago-en-metalico/0/?q=pago+en+met%C3%A1lico,https://media.spreadthesign.com/video/mp4/13/457703.mp4,pago en metálico,trabajo-social
/en.us/word/1060/cacahuete/0/?q=cacahuete,https://media.spreadthesign.com/video/mp4/13/91557.mp4,cacahuete,cotidiano
/en.us/word/1062/guisante/0/?q=guisante,https://media.spreadthesign.com/video/mp4/13/91559.mp4,guisante,cotidiano
/en.us/word/1063/cascara/0/?q=c%C3%A1scara,https://media.spreadthesign.com/video/mp4/13/91560.mp4,cáscara,cotidiano
/en.us/word/1070/tarta/0/?q=tarta,https://media.spreadthesign.com/video/mp4/13/457771.mp4,tarta,cotidiano
/en.us/word/1073/pina/0/?q=pi%C3%B1a,https://media.spreadthesign.com/video/mp4/13/457782.mp4,piña,cotidiano
/en.us/word/1074/pizza/0/?q=pizza,https://media.spreadthesign.com/video/mp4/13/457790.mp4,pizza,cotidiano
/en.us/word/1087/aves-de-corral/0/?q=aves+de+corral,https://media.spreadthesign.com/video/mp4/13/91575.mp4,aves de corral,cotidiano
/en.us/word/1089/verter-liquidos/0/?q=verter+l%C3%ADquidos,https://media.spreadthesign.com/video/mp4/13/506948.mp4,verter líquidos,cotidiano
/en.us/word/1091/preparar/0/?q=preparar,https://media.spreadthesign.com/video/mp4/13/457801.mp4,preparar,lenguaje
