href,video,gloss,categorie
/es.ar/word/999/margarina/0/?q=margarina,https://media.spreadthesign.com/video/mp4/64/492040.mp4,margarina,cotidiano
/es.ar/word/1002/aplastar/0/?q=aplastar,https://media.spreadthesign.com/video/mp4/64/482229.mp4,aplastar,tecnologia
/es.ar/word/1004/mayonesa/0/?q=mayonesa,https://media.spreadthesign.com/video/mp4/64/492179.mp4,mayonesa,cotidiano
/es.ar/word/1006/medallon/0/?q=medall%C3%B3n,https://media.spreadthesign.com/video/mp4/64/492210.mp4,medallón,cotidiano
/es.ar/word/1008/melon/0/?q=mel%C3%B3n,https://media.spreadthesign.com/video/mp4/64/492334.mp4,melón,cotidiano
/es.ar/word/1013/batido/0/?q=batido,https://media.spreadthesign.com/video/mp4/64/483067.mp4,batido,cotidiano
/es.ar/word/1014/carne-picada/0/?q=carne+picada,https://media.spreadthesign.com/video/mp4/64/483533.mp4,carne picada,cotidiano
/es.ar/word/1015/agua-mineral/0/?q=agua+mineral,https://media.spreadthesign.com/video/mp4/64/481797.mp4,agua mineral,cotidiano
/es.ar/word/1017/batidora/0/?q=batidora,https://media.spreadthesign.com/video/mp4/64/483068.mp4,batidora,cotidiano
/es.ar/word/1018/dinero/0/?q=dinero,https://media.spreadthesign.com/video/mp4/64/486050.mp4,dinero,trabajo-social
/es.ar/word/11/cemento/0/?q=cemento,https://media.spreadthesign.com/video/mp4/64/483700.mp4,cemento,tecnologia
/es.ar/word/1019/fregona/0/?q=fregona,https://media.spreadthesign.com/video/mp4/64/487455.mp4,fregona,cotidiano
/es.ar/word/1023/cordero/0/?q=cordero,https://media.spreadthesign.com/video/mp4/64/484414.mp4,cordero,cotidiano
/es.ar/word/104/universal/0/?q=universal,https://media.spreadthesign.com/video/mp4/64/500870.mp4,universal,lenguaje
/es.ar/word/1025/no-fumadores/0/?q=no+fumadores,https://media.spreadthesign.com/video/mp4/64/492668.mp4,no fumadores,salud-y-medicina
/es.ar/word/1030/aceite/0/?q=aceite,https://media.spreadthesign.com/video/mp4/64/481461.mp4,aceite,cotidiano
/es.ar/word/1031/aceituna/0/?q=aceituna,https://media.spreadthesign.com/video/mp4/64/481465.mp4,aceituna,cotidiano
/es.ar/word/1032/aceite-de-oliva/0/?q=aceite+de+oliva,https://media.spreadthesign.com/video/mp4/64/481464.mp4,aceite de oliva,cotidiano
/es.ar/word/1033/tortilla/0/?q=tortilla,https://media.spreadthesign.com/video/mp4/64/504008.mp4,tortilla,cotidiano
/es.ar/word/1035/abrir-una-botella/0/?q=abrir+una+botella,https://media.spreadthesign.com/video/mp4/64/481371.mp4,abrir una botella,cotidiano
/es.ar/word/1037/pedir/0/?q=pedir,https://media.spreadthesign.com/video/mp4/64/495098.mp4,pedir,cotidiano
/es.ar/word/1038/oregano/0/?q=or%C3%A9gano,https://media.spreadthesign.com/video/mp4/64/494993.mp4,orégano,cotidiano
/es.ar/word/1039/hornear/0/?q=hornear,https://media.spreadthesign.com/video/mp4/64/489973.mp4,hornear,cotidiano
/es.ar/word/1040/ostra/0/?q=ostra,https://media.spreadthesign.com/video/mp4/64/495059.mp4,ostra,cotidiano
/es.ar/word/1042/paquete/0/?q=paquete,https://media.spreadthesign.com/video/mp4/64/493824.mp4,paquete,lenguaje
/es.ar/word/1045/despensa/0/?q=despensa,https://media.spreadthesign.com/video/mp4/64/485011.mp4,despensa,cotidiano
/es.ar/word/1047/pimenton-dulce/0/?q=piment%C3%B3n+dulce,https://media.spreadthesign.com/video/mp4/64/495372.mp4,pimentón dulce,cotidiano
/es.ar/word/1049/paquete/0/?q=paquete,https://media.spreadthesign.com/video/mp4/64/493823.mp4,paquete,lenguaje
/es.ar/word/1050/perejil/0/?q=perejil,https://media.spreadthesign.com/video/mp4/64/495211.mp4,perejil,cotidiano
/es.ar/word/1053/masa/0/?q=masa,https://media.spreadthesign.com/video/mp4/64/492067.mp4,masa,cotidiano
/es.ar/word/1055/pate/0/?q=pat%C3%A9,https://media.spreadthesign.com/video/mp4/64/494152.mp4,paté,cotidiano
/es.ar/word/107/iman/0/?q=im%C3%A1n,https://media.spreadthesign.com/video/mp4/64/490123.mp4,imán,ciencia
/es.ar/word/1057/pago-con-tarjeta/0/?q=pago+con+tarjeta,https://media.spreadthesign.com/video/mp4/64/493706.mp4,pago con tarjeta,trabajo-social
/es.ar/word/1058/pago-en-metalico/0/?q=pago+en+met%C3%A1lico,https://media.spreadthesign.com/video/mp4/64/493708.mp4,pago en metálico,trabajo-social
/es.ar/word/1062/guisante/0/?q=guisante,https://media.spreadthesign.com/video/mp4/64/489615.mp4,guisante,cotidiano
/es.ar/word/1063/cascara/0/?q=c%C3%A1scara,https://media.spreadthesign.com/video/mp4/64/483605.mp4,cáscara,cotidiano
/es.ar/word/1066/pimienta-en-grano/0/?q=pimienta+en+grano,https://media.spreadthesign.com/video/mp4/64/495374.mp4,pimienta en grano,cotidiano
/es.ar/word/108/lona/0/?q=lona,https://media.spreadthesign.com/video/mp4/64/491422.mp4,lona,tecnologia
/es.ar/word/1070/tarta/0/?q=tarta,https://media.spreadthesign.com/video/mp4/64/503047.mp4,tarta,cotidiano
/es.ar/word/1076/ciruela/0/?q=ciruela,https://media.spreadthesign.com/video/mp4/64/504096.mp4,ciruela,cotidiano
/es.ar/word/1078/palomitas/0/?q=palomitas,https://media.spreadthesign.com/video/mp4/64/493756.mp4,palomitas,cotidiano
/es.ar/word/1079/carne-de-cerdo/0/?q=carne+de+cerdo,https://media.spreadthesign.com/video/mp4/64/483529.mp4,carne de cerdo,cotidiano
/es.ar/word/1080/chuleta-de-cerdo/0/?q=chuleta+de+cerdo,https://media.spreadthesign.com/video/mp4/64/483931.mp4,chuleta de cerdo,cotidiano
/es.ar/word/1082/vino-de-oporto/0/?q=vino+de+oporto,https://media.spreadthesign.com/video/mp4/64/501259.mp4,vino de oporto,cotidiano
/es.ar/word/1084/asado-en-olla/0/?q=asado+en+olla,https://media.spreadthesign.com/video/mp4/64/482465.mp4,asado en olla,cotidiano
/es.ar/word/1086/pela-patatas/0/?q=pela+patatas,https://media.spreadthesign.com/video/mp4/64/495117.mp4,pela patatas,cotidiano
/es.ar/word/1087/aves-de-corral/0/?q=aves+de+corral,https://media.spreadthesign.com/video/mp4/64/482788.mp4,aves de corral,cotidiano
/es.ar/word/1088/echar/0/?q=echar,https://media.spreadthesign.com/video/mp4/64/485422.mp4,echar,lenguaje
/es.ar/word/1089/verter-liquidos/0/?q=verter+l%C3%ADquidos,https://media.spreadthesign.com/video/mp4/64/501146.mp4,verter líquidos,cotidiano
/es.ar/word/1091/preparar/0/?q=preparar,https://media.spreadthesign.com/video/mp4/64/495782.mp4,preparar,lenguaje
/es.ar/word/1092/prensar/0/?q=prensar,https://media.spreadthesign.com/video/mp4/64/495766.mp4,prensar,ciencia
/es.ar/word/1093/olla-a-presion/0/?q=olla+a+presi%C3%B3n,https://media.spreadthesign.com/video/mp4/64/494905.mp4,olla a presión,cotidiano
/es.ar/word/1094/precio/0/?q=precio,https://media.spreadthesign.com/video/mp4/64/495716.mp4,precio,trabajo-social
/es.ar/word/1095/ciruela-pasa/0/?q=ciruela+pasa,https://media.spreadthesign.com/video/mp4/64/504097.mp4,ciruela pasa,cotidiano
/es.ar/word/1096/pub/0/?q=pub,https://media.spreadthesign.com/video/mp4/64/498501.mp4,pub,cotidiano
/es.ar/word/1100/pure/0/?q=pur%C3%A9,https://media.spreadthesign.com/video/mp4/64/498641.mp4,puré,cotidiano
/es.ar/word/1101/cantidad/0/?q=cantidad,https://media.spreadthesign.com/video/mp4/64/483417.mp4,cantidad,generalidades
/es.ar/word/1103/estante/0/?q=estante,https://media.spreadthesign.com/video/mp4/64/488611.mp4,estante,cotidiano
/es.ar/word/1106/uva-pasa/0/?q=uva+pasa,https://media.spreadthesign.com/video/mp4/64/500915.mp4,uva pasa,cotidiano
/es.ar/word/112/hoja-de-sierra/0/?q=hoja+de+sierra,https://media.spreadthesign.com/video/mp4/64/489920.mp4,hoja de sierra,tecnologia
/es.ar/word/1108/frambuesas/0/?q=frambuesas,https://media.spreadthesign.com/video/mp4/64/487426.mp4,frambuesas,cotidiano
/es.ar/word/1110/crudo/0/?q=crudo,https://media.spreadthesign.com/video/mp4/64/487949.mp4,crudo,cotidiano
/es.ar/word/1111/receta/0/?q=receta,https://media.spreadthesign.com/video/mp4/64/501717.mp4,receta,cotidiano
/es.ar/word/1112/vino-tinto/0/?q=vino+tinto,https://media.spreadthesign.com/video/mp4/64/501255.mp4,vino tinto,cotidiano
/es.ar/word/1115/frigorifico/0/?q=frigor%C3%ADfico,https://media.spreadthesign.com/video/mp4/64/487483.mp4,frigorífico,cotidiano
/es.ar/word/1117/reserva/0/?q=reserva,https://media.spreadthesign.com/video/mp4/64/498748.mp4,reserva,educacion
/es.ar/word/113/hoja-de-sierra-circular/0/?q=hoja+de+sierra+circular,https://media.spreadthesign.com/video/mp4/64/489921.mp4,hoja de sierra circular,tecnologia
/es.ar/word/1122/maduro/0/?q=maduro,https://media.spreadthesign.com/video/mp4/64/491522.mp4,maduro,cotidiano
/es.ar/word/1124/asar/0/?q=asar,https://media.spreadthesign.com/video/mp4/64/482471.mp4,asar,cotidiano
/es.ar/word/1125/roastbeef/0/?q=roastbeef,https://media.spreadthesign.com/video/mp4/64/498919.mp4,roastbeef,cotidiano
/es.ar/word/1126/fuente-para-asar/0/?q=fuente+para+asar,https://media.spreadthesign.com/video/mp4/64/487505.mp4,fuente para asar,cotidiano
/es.ar/word/1129/desperdicios/0/?q=desperdicios,https://media.spreadthesign.com/video/mp4/64/485014.mp4,desperdicios,cotidiano
/es.ar/word/1130/ron/0/?q=ron,https://media.spreadthesign.com/video/mp4/64/498958.mp4,ron,cotidiano
/es.ar/word/1132/ensalada/0/?q=ensalada,https://media.spreadthesign.com/video/mp4/64/486424.mp4,ensalada,cotidiano
/es.ar/word/1133/salchichon/0/?q=salchich%C3%B3n,https://media.spreadthesign.com/video/mp4/64/502224.mp4,salchichón,cotidiano
/es.ar/word/1137/sardina/0/?q=sardina,https://media.spreadthesign.com/video/mp4/64/502405.mp4,sardina,cotidiano
/es.ar/word/1138/salsa/0/?q=salsa,https://media.spreadthesign.com/video/mp4/64/502257.mp4,salsa,cotidiano
/es.ar/word/1139/cazuela/0/?q=cazuela,https://media.spreadthesign.com/video/mp4/64/483674.mp4,cazuela,cotidiano
/es.ar/word/1140/platillo/0/?q=platillo,https://media.spreadthesign.com/video/mp4/64/495505.mp4,platillo,cotidiano
/es.ar/word/1144/balanza/0/?q=balanza,https://media.spreadthesign.com/video/mp4/64/482868.mp4,balanza,tecnologia
/es.ar/word/1145/huevos-revueltos/0/?q=huevos+revueltos,https://media.spreadthesign.com/video/mp4/64/490023.mp4,huevos revueltos,cotidiano
/es.ar/word/1146/fregar/0/?q=fregar,https://media.spreadthesign.com/video/mp4/64/487453.mp4,fregar,cotidiano
/es.ar/word/116/cortacristales/0/?q=cortacristales,https://media.spreadthesign.com/video/mp4/64/487783.mp4,cortacristales,tecnologia
