href,video,gloss,category
/fr.fr/word/7059/crucificar/0/?q=crucificar,https://media.spreadthesign.com/video/mp4/10/282297.mp4,crucificar,religion
/fr.fr/word/7067/bola-de-cristal/0/?q=bola+de+cristal,https://media.spreadthesign.com/video/mp4/10/180426.mp4,bola de cristal,religion
/fr.fr/word/7074/cupido/0/?q=cupido,https://media.spreadthesign.com/video/mp4/10/155927.mp4,cupido,religion
/fr.fr/word/7078/maldicion/0/?q=maldici%C3%B3n,https://media.spreadthesign.com/video/mp4/10/282305.mp4,maldición,religion
/fr.fr/word/7752/privar/0/?q=privar,https://media.spreadthesign.com/video/mp4/10/284815.mp4,privar,religion
/fr.fr/word/7488/tumba/0/?q=tumba,https://media.spreadthesign.com/video/mp4/10/256881.mp4,tumba,religion
/fr.fr/word/7455/duende/0/?q=duende,https://media.spreadthesign.com/video/mp4/10/256862.mp4,duende,religion
/fr.fr/word/7491/avidez/0/?q=avidez,https://media.spreadthesign.com/video/mp4/10/156483.mp4,avidez,religion
/fr.fr/word/7493/duende-malvado/0/?q=duende+malvado,https://media.spreadthesign.com/video/mp4/10/284172.mp4,duende malvado,religion
/fr.fr/word/7463/evangelio/0/?q=evangelio,https://media.spreadthesign.com/video/mp4/10/186398.mp4,evangelio,religion
/fr.fr/word/7436/gigante/0/?q=gigante,https://media.spreadthesign.com/video/mp4/10/186355.mp4,gigante,religion
/fr.fr/word/7152/cuaquero/0/?q=cu%C3%A1quero,https://media.spreadthesign.com/video/mp4/10/188081.mp4,cuáquero,religion
/fr.fr/word/7840/budismo/0/?q=budismo,https://media.spreadthesign.com/video/mp4/10/158345.mp4,budismo,religion
/fr.fr/word/7839/buda/0/?q=Buda,https://media.spreadthesign.com/video/mp4/10/155911.mp4,Buda,religion
/fr.fr/word/7207/templo/0/?q=templo,https://media.spreadthesign.com/video/mp4/10/188949.mp4,templo,religion
/fr.fr/word/7250/trono/0/?q=trono,https://media.spreadthesign.com/video/mp4/10/283565.mp4,trono,religion
/fr.fr/word/7292/tumba/0/?q=tumba,https://media.spreadthesign.com/video/mp4/10/266815.mp4,tumba,religion
/fr.fr/word/4059/ateo/0/?q=ateo,https://media.spreadthesign.com/video/mp4/10/35813.mp4,ateo,religion
/fr.fr/word/10738/perezoso/0/?q=perezoso,https://media.spreadthesign.com/video/mp4/10/282060.mp4,perezoso,religion
/fr.fr/word/10400/vida-eterna/0/?q=vida+eterna,https://media.spreadthesign.com/video/mp4/10/255317.mp4,vida eterna,religion
/fr.fr/word/10443/codicioso/0/?q=codicioso,https://media.spreadthesign.com/video/mp4/10/186422.mp4,codicioso,religion
/fr.fr/word/10486/celos/0/?q=celos,https://media.spreadthesign.com/video/mp4/10/257079.mp4,celos,religion
/fr.fr/word/10562/ofensa/0/?q=ofensa,https://media.spreadthesign.com/video/mp4/10/285435.mp4,ofensa,religion
/fr.fr/word/10260/maldito/0/?q=maldito,https://media.spreadthesign.com/video/mp4/10/280996.mp4,maldito,religion
/fr.fr/word/10904/paraiso/0/?q=para%C3%ADso,https://media.spreadthesign.com/video/mp4/10/187499.mp4,paraíso,religion
/fr.fr/word/10929/escuela-religiosa/0/?q=escuela+religiosa,https://media.spreadthesign.com/video/mp4/10/187547.mp4,escuela religiosa,religion
/fr.fr/word/10612/cura/0/?q=cura,https://media.spreadthesign.com/video/mp4/10/187874.mp4,cura,religion
/fr.fr/word/10660/revelacion/0/?q=revelaci%C3%B3n,https://media.spreadthesign.com/video/mp4/10/188283.mp4,revelación,religion
/fr.fr/word/10635/extasis/0/?q=%C3%A9xtasis+,https://media.spreadthesign.com/video/mp4/10/188118.mp4,éxtasis ,religion
/fr.fr/word/10328/cristiano/0/?q=Cristiano,https://media.spreadthesign.com/video/mp4/10/158618.mp4,Cristiano,religion
/fr.fr/word/10321/catecismo/0/?q=catecismo,https://media.spreadthesign.com/video/mp4/10/158520.mp4,catecismo,religion
/fr.fr/word/10369/engano/0/?q=enga%C3%B1o,https://media.spreadthesign.com/video/mp4/10/180466.mp4,engaño,religion
/fr.fr/word/10330/cristologia/0/?q=cristolog%C3%ADa,https://media.spreadthesign.com/video/mp4/10/173876.mp4,cristología,religion
/fr.fr/word/10335/condena/0/?q=condena,https://media.spreadthesign.com/video/mp4/10/180327.mp4,condena,religion
/fr.fr/word/10339/condenar/0/?q=condenar,https://media.spreadthesign.com/video/mp4/10/180328.mp4,condenar,religion
/fr.fr/word/1794/diablo/0/?q=diablo,https://media.spreadthesign.com/video/mp4/10/17852.mp4,diablo,religion
/fr.fr/word/1795/angel/0/?q=%C3%A1ngel,https://media.spreadthesign.com/video/mp4/10/17855.mp4,ángel,religion
/fr.fr/word/17124/nino-jesus/0/?q=Ni%C3%B1o+Jes%C3%BAs,https://media.spreadthesign.com/video/mp4/10/281728.mp4,Niño Jesús,religion
