href,video,gloss,categorie
/it.it/word/999/margarina/0/?q=margarina,https://media.spreadthesign.com/video/mp4/17/444418.mp4,margarina,cotidiano
/it.it/word/1000/adobar/0/?q=adobar,https://media.spreadthesign.com/video/mp4/17/444419.mp4,adobar,cotidiano
/it.it/word/1001/mazapan/0/?q=mazap%C3%A1n,https://media.spreadthesign.com/video/mp4/17/444420.mp4,mazapán,cotidiano
/it.it/word/1002/aplastar/0/?q=aplastar,https://media.spreadthesign.com/video/mp4/17/177951.mp4,aplastar,tecnologia
/it.it/word/1004/mayonesa/0/?q=mayonesa,https://media.spreadthesign.com/video/mp4/17/444421.mp4,mayonesa,cotidiano
/it.it/word/1006/medallon/0/?q=medall%C3%B3n,https://media.spreadthesign.com/video/mp4/17/444422.mp4,medallón,cotidiano
/it.it/word/1007/punto-medio/0/?q=punto+medio,https://media.spreadthesign.com/video/mp4/17/177959.mp4,punto medio,cotidiano
/it.it/word/1008/melon/0/?q=mel%C3%B3n,https://media.spreadthesign.com/video/mp4/17/444423.mp4,melón,cotidiano
/it.it/word/1011/menu/0/?q=men%C3%BA,https://media.spreadthesign.com/video/mp4/17/444424.mp4,menú,cotidiano
/it.it/word/1013/batido/0/?q=batido,https://media.spreadthesign.com/video/mp4/17/461773.mp4,batido,cotidiano
/it.it/word/1014/carne-picada/0/?q=carne+picada,https://media.spreadthesign.com/video/mp4/17/505778.mp4,carne picada,cotidiano
/it.it/word/1015/agua-mineral/0/?q=agua+mineral,https://media.spreadthesign.com/video/mp4/17/468160.mp4,agua mineral,cotidiano
/it.it/word/1017/batidora/0/?q=batidora,https://media.spreadthesign.com/video/mp4/17/461774.mp4,batidora,cotidiano
/it.it/word/1018/dinero/0/?q=dinero,https://media.spreadthesign.com/video/mp4/17/198343.mp4,dinero,trabajo-social
/it.it/word/11/cemento/0/?q=cemento,https://media.spreadthesign.com/video/mp4/17/181431.mp4,cemento,tecnologia
/it.it/word/103/soporte-de-la-broca/0/?q=soporte+de+la+broca,https://media.spreadthesign.com/video/mp4/17/181415.mp4,soporte de la broca,tecnologia
/it.it/word/1019/fregona/0/?q=fregona,https://media.spreadthesign.com/video/mp4/17/453457.mp4,fregona,cotidiano
/it.it/word/1020/mousse/0/?q=mousse,https://media.spreadthesign.com/video/mp4/17/444406.mp4,mousse,cotidiano
/it.it/word/1022/mostaza/0/?q=mostaza,https://media.spreadthesign.com/video/mp4/17/671441.mp4,mostaza,cotidiano
/it.it/word/1023/cordero/0/?q=cordero,https://media.spreadthesign.com/video/mp4/17/177997.mp4,cordero,cotidiano
/it.it/word/104/universal/0/?q=universal,https://media.spreadthesign.com/video/mp4/17/177725.mp4,universal,lenguaje
/it.it/word/1025/no-fumadores/0/?q=no+fumadores,https://media.spreadthesign.com/video/mp4/17/444533.mp4,no fumadores,salud-y-medicina
/it.it/word/1027/nuez-moscada/0/?q=nuez+moscada,https://media.spreadthesign.com/video/mp4/17/444535.mp4,nuez moscada,cotidiano
/it.it/word/1030/aceite/0/?q=aceite,https://media.spreadthesign.com/video/mp4/17/453102.mp4,aceite,cotidiano
/it.it/word/1031/aceituna/0/?q=aceituna,https://media.spreadthesign.com/video/mp4/17/453105.mp4,aceituna,cotidiano
/it.it/word/1032/aceite-de-oliva/0/?q=aceite+de+oliva,https://media.spreadthesign.com/video/mp4/17/453094.mp4,aceite de oliva,cotidiano
/it.it/word/1033/tortilla/0/?q=tortilla,https://media.spreadthesign.com/video/mp4/17/453108.mp4,tortilla,cotidiano
/it.it/word/1035/abrir-una-botella/0/?q=abrir+una+botella,https://media.spreadthesign.com/video/mp4/17/178023.mp4,abrir una botella,cotidiano
/it.it/word/105/lijadora/0/?q=lijadora,https://media.spreadthesign.com/video/mp4/17/183802.mp4,lijadora,tecnologia
/it.it/word/1037/pedir/0/?q=pedir,https://media.spreadthesign.com/video/mp4/17/453129.mp4,pedir,cotidiano
/it.it/word/1038/oregano/0/?q=or%C3%A9gano,https://media.spreadthesign.com/video/mp4/17/497897.mp4,orégano,cotidiano
/it.it/word/1039/hornear/0/?q=hornear,https://media.spreadthesign.com/video/mp4/17/499394.mp4,hornear,cotidiano
/it.it/word/1040/ostra/0/?q=ostra,https://media.spreadthesign.com/video/mp4/17/453159.mp4,ostra,cotidiano
/it.it/word/1041/abreostras/0/?q=abreostras,https://media.spreadthesign.com/video/mp4/17/499873.mp4,abreostras,cotidiano
/it.it/word/1042/paquete/0/?q=paquete,https://media.spreadthesign.com/video/mp4/17/178029.mp4,paquete,lenguaje
/it.it/word/1043/cazo/0/?q=cazo,https://media.spreadthesign.com/video/mp4/17/506554.mp4,cazo,cotidiano
/it.it/word/1045/despensa/0/?q=despensa,https://media.spreadthesign.com/video/mp4/17/671332.mp4,despensa,cotidiano
/it.it/word/1046/papaya/0/?q=papaya,https://media.spreadthesign.com/video/mp4/17/444925.mp4,papaya,cotidiano
/it.it/word/1047/pimenton-dulce/0/?q=piment%C3%B3n+dulce,https://media.spreadthesign.com/video/mp4/17/444924.mp4,pimentón dulce,cotidiano
/it.it/word/1049/paquete/0/?q=paquete,https://media.spreadthesign.com/video/mp4/17/444913.mp4,paquete,lenguaje
/it.it/word/1050/perejil/0/?q=perejil,https://media.spreadthesign.com/video/mp4/17/444914.mp4,perejil,cotidiano
/it.it/word/1053/masa/0/?q=masa,https://media.spreadthesign.com/video/mp4/17/444916.mp4,masa,cotidiano
/it.it/word/1054/moldes-pasteleros/0/?q=moldes+pasteleros,https://media.spreadthesign.com/video/mp4/17/178041.mp4,moldes pasteleros,cotidiano
/it.it/word/1055/pate/0/?q=pat%C3%A9,https://media.spreadthesign.com/video/mp4/17/444929.mp4,paté,cotidiano
/it.it/word/1056/pago-por-talon/0/?q=pago+por+tal%C3%B3n,https://media.spreadthesign.com/video/mp4/17/444933.mp4,pago por talón,trabajo-social
/it.it/word/107/iman/0/?q=im%C3%A1n,https://media.spreadthesign.com/video/mp4/17/183472.mp4,imán,ciencia
/it.it/word/1057/pago-con-tarjeta/0/?q=pago+con+tarjeta,https://media.spreadthesign.com/video/mp4/17/444934.mp4,pago con tarjeta,trabajo-social
/it.it/word/1058/pago-en-metalico/0/?q=pago+en+met%C3%A1lico,https://media.spreadthesign.com/video/mp4/17/444935.mp4,pago en metálico,trabajo-social
/it.it/word/1060/cacahuete/0/?q=cacahuete,https://media.spreadthesign.com/video/mp4/17/671447.mp4,cacahuete,cotidiano
/it.it/word/1062/guisante/0/?q=guisante,https://media.spreadthesign.com/video/mp4/17/444938.mp4,guisante,cotidiano
/it.it/word/1063/cascara/0/?q=c%C3%A1scara,https://media.spreadthesign.com/video/mp4/17/496843.mp4,cáscara,cotidiano
/it.it/word/1065/menta/0/?q=menta,https://media.spreadthesign.com/video/mp4/17/444425.mp4,menta,cotidiano
/it.it/word/1066/pimienta-en-grano/0/?q=pimienta+en+grano,https://media.spreadthesign.com/video/mp4/17/178068.mp4,pimienta en grano,cotidiano
/it.it/word/108/lona/0/?q=lona,https://media.spreadthesign.com/video/mp4/17/183849.mp4,lona,tecnologia
/it.it/word/1067/molinillo-de-pimienta/0/?q=molinillo+de+pimienta,https://media.spreadthesign.com/video/mp4/17/444426.mp4,molinillo de pimienta,cotidiano
/it.it/word/1068/faisan/0/?q=fais%C3%A1n,https://media.spreadthesign.com/video/mp4/17/461466.mp4,faisán,cotidiano
/it.it/word/1069/escabechar/0/?q=escabechar,https://media.spreadthesign.com/video/mp4/17/178077.mp4,escabechar,cotidiano
/it.it/word/1070/tarta/0/?q=tarta,https://media.spreadthesign.com/video/mp4/17/506703.mp4,tarta,cotidiano
/it.it/word/1073/pina/0/?q=pi%C3%B1a,https://media.spreadthesign.com/video/mp4/17/498655.mp4,piña,cotidiano
/it.it/word/1074/pizza/0/?q=pizza,https://media.spreadthesign.com/video/mp4/17/444945.mp4,pizza,cotidiano
/it.it/word/1076/ciruela/0/?q=ciruela,https://media.spreadthesign.com/video/mp4/17/444947.mp4,ciruela,cotidiano
/it.it/word/1077/huevo-escalfado/0/?q=huevo+escalfado,https://media.spreadthesign.com/video/mp4/17/507128.mp4,huevo escalfado,cotidiano
/it.it/word/1078/palomitas/0/?q=palomitas,https://media.spreadthesign.com/video/mp4/17/444951.mp4,palomitas,cotidiano
/it.it/word/1079/carne-de-cerdo/0/?q=carne+de+cerdo,https://media.spreadthesign.com/video/mp4/17/671448.mp4,carne de cerdo,cotidiano
/it.it/word/1080/chuleta-de-cerdo/0/?q=chuleta+de+cerdo,https://media.spreadthesign.com/video/mp4/17/178107.mp4,chuleta de cerdo,cotidiano
/it.it/word/1081/cerdo-con-almejas/0/?q=cerdo+con+almejas,https://media.spreadthesign.com/video/mp4/17/444427.mp4,cerdo con almejas,cotidiano
/it.it/word/1082/vino-de-oporto/0/?q=vino+de+oporto,https://media.spreadthesign.com/video/mp4/17/444958.mp4,vino de oporto,cotidiano
/it.it/word/1084/asado-en-olla/0/?q=asado+en+olla,https://media.spreadthesign.com/video/mp4/17/496829.mp4,asado en olla,cotidiano
/it.it/word/1086/pela-patatas/0/?q=pela+patatas,https://media.spreadthesign.com/video/mp4/17/444966.mp4,pela patatas,cotidiano
/it.it/word/1087/aves-de-corral/0/?q=aves+de+corral,https://media.spreadthesign.com/video/mp4/17/444970.mp4,aves de corral,cotidiano
/it.it/word/1088/echar/0/?q=echar,https://media.spreadthesign.com/video/mp4/17/461482.mp4,echar,lenguaje
/it.it/word/1089/verter-liquidos/0/?q=verter+l%C3%ADquidos,https://media.spreadthesign.com/video/mp4/17/507308.mp4,verter líquidos,cotidiano
/it.it/word/1091/preparar/0/?q=preparar,https://media.spreadthesign.com/video/mp4/17/444626.mp4,preparar,lenguaje
/it.it/word/1092/prensar/0/?q=prensar,https://media.spreadthesign.com/video/mp4/17/444972.mp4,prensar,ciencia
/it.it/word/1093/olla-a-presion/0/?q=olla+a+presi%C3%B3n,https://media.spreadthesign.com/video/mp4/17/444976.mp4,olla a presión,cotidiano
/it.it/word/1094/precio/0/?q=precio,https://media.spreadthesign.com/video/mp4/17/444978.mp4,precio,trabajo-social
/it.it/word/1095/ciruela-pasa/0/?q=ciruela+pasa,https://media.spreadthesign.com/video/mp4/17/444980.mp4,ciruela pasa,cotidiano
/it.it/word/1096/pub/0/?q=pub,https://media.spreadthesign.com/video/mp4/17/444984.mp4,pub,cotidiano
/it.it/word/111/sierra-de-punta/0/?q=sierra+de+punta,https://media.spreadthesign.com/video/mp4/17/468446.mp4,sierra de punta,tecnologia
/it.it/word/1097/pudin/0/?q=pudin,https://media.spreadthesign.com/video/mp4/17/445643.mp4,pudin,cotidiano
/it.it/word/1099/ponche/0/?q=ponche,https://media.spreadthesign.com/video/mp4/17/444986.mp4,ponche,cotidiano
/it.it/word/1100/pure/0/?q=pur%C3%A9,https://media.spreadthesign.com/video/mp4/17/445023.mp4,puré,cotidiano
/it.it/word/1101/cantidad/0/?q=cantidad,https://media.spreadthesign.com/video/mp4/17/453482.mp4,cantidad,generalidades
/it.it/word/1103/estante/0/?q=estante,https://media.spreadthesign.com/video/mp4/17/575696.mp4,estante,cotidiano
/it.it/word/1104/rabano/0/?q=r%C3%A1bano,https://media.spreadthesign.com/video/mp4/17/500014.mp4,rábano,cotidiano
/it.it/word/1105/ragu/0/?q=rag%C3%BA,https://media.spreadthesign.com/video/mp4/17/500008.mp4,ragú,cotidiano
/it.it/word/1106/uva-pasa/0/?q=uva+pasa,https://media.spreadthesign.com/video/mp4/17/452929.mp4,uva pasa,cotidiano
/it.it/word/112/hoja-de-sierra/0/?q=hoja+de+sierra,https://media.spreadthesign.com/video/mp4/17/183804.mp4,hoja de sierra,tecnologia
