href,video,gloss,categorie
/pt.pt/word/999/margarina/0/?q=margarina,https://media.spreadthesign.com/video/mp4/6/10006.mp4,margarina,cotidiano
/pt.pt/word/1000/adobar/0/?q=adobar,https://media.spreadthesign.com/video/mp4/6/10012.mp4,adobar,cotidiano
/pt.pt/word/1001/mazapan/0/?q=mazap%C3%A1n,https://media.spreadthesign.com/video/mp4/6/10025.mp4,mazapán,cotidiano
/pt.pt/word/1002/aplastar/0/?q=aplastar,https://media.spreadthesign.com/video/mp4/6/10036.mp4,aplastar,tecnologia
/pt.pt/word/1004/mayonesa/0/?q=mayonesa,https://media.spreadthesign.com/video/mp4/6/10054.mp4,mayonesa,cotidiano
/pt.pt/word/1006/medallon/0/?q=medall%C3%B3n,https://media.spreadthesign.com/video/mp4/6/10072.mp4,medallón,cotidiano
/pt.pt/word/1007/punto-medio/0/?q=punto+medio,https://media.spreadthesign.com/video/mp4/6/10084.mp4,punto medio,cotidiano
/pt.pt/word/1008/melon/0/?q=mel%C3%B3n,https://media.spreadthesign.com/video/mp4/6/10096.mp4,melón,cotidiano
/pt.pt/word/1011/menu/0/?q=men%C3%BA,https://media.spreadthesign.com/video/mp4/6/10126.mp4,menú,cotidiano
/pt.pt/word/1013/batido/0/?q=batido,https://media.spreadthesign.com/video/mp4/6/10145.mp4,batido,cotidiano
/pt.pt/word/1014/carne-picada/0/?q=carne+picada,https://media.spreadthesign.com/video/mp4/6/10156.mp4,carne picada,cotidiano
/pt.pt/word/1015/agua-mineral/0/?q=agua+mineral,https://media.spreadthesign.com/video/mp4/6/10162.mp4,agua mineral,cotidiano
/pt.pt/word/1017/batidora/0/?q=batidora,https://media.spreadthesign.com/video/mp4/6/10185.mp4,batidora,cotidiano
/pt.pt/word/1018/dinero/0/?q=dinero,https://media.spreadthesign.com/video/mp4/6/10191.mp4,dinero,trabajo-social
/pt.pt/word/11/cemento/0/?q=cemento,https://media.spreadthesign.com/video/mp4/6/105.mp4,cemento,tecnologia
/pt.pt/word/103/soporte-de-la-broca/0/?q=soporte+de+la+broca,https://media.spreadthesign.com/video/mp4/6/1023.mp4,soporte de la broca,tecnologia
/pt.pt/word/1019/fregona/0/?q=fregona,https://media.spreadthesign.com/video/mp4/6/10204.mp4,fregona,cotidiano
